sqrfoot,depth,value
1,0-2,1660.88
1,2.1-4,1697.56
1,4.1-6,1737.24
1,6.1-8,1780.56
1,8.1-10,1828.48
1,10.1-12,1882.2
2,0-2,1660.88
2,2.1-4,1697.56
2,4.1-6,1737.24
2,6.1-8,1780.56
2,8.1-10,1828.48
2,10.1-12,1882.2
3,0-2,1660.88
3,2.1-4,1697.56
3,4.1-6,1737.24
3,6.1-8,1780.56
3,8.1-10,1828.48
3,10.1-12,1882.2
4,0-2,1660.88
4,2.1-4,1697.56
4,4.1-6,1737.24
4,6.1-8,1780.56
4,8.1-10,1828.48
4,10.1-12,1882.2
5,0-2,1917.44
5,2.1-4,1925.28
5,4.1-6,1980.8
5,6.1-8,2040.08
5,8.1-10,2103.76
5,10.1-12,2173.36
6,0-2,1917.44
6,2.1-4,1925.28
6,4.1-6,1980.8
6,6.1-8,2040.08
6,8.1-10,2103.76
6,10.1-12,2173.36
7,0-2,1917.44
7,2.1-4,1925.28
7,4.1-6,1980.8
7,6.1-8,2040.08
7,8.1-10,2103.76
7,10.1-12,2173.36
8,0-2,1917.44
8,2.1-4,1925.28
8,4.1-6,1980.8
8,6.1-8,2040.08
8,8.1-10,2103.76
8,10.1-12,2173.36
9,0-2,2297.16
9,2.1-4,2365.56
9,4.1-6,2436.96
9,6.1-8,2511.96
9,8.1-10,2591.52
9,10.1-12,2677.08
10,0-2,2297.16
10,2.1-4,2365.56
10,4.1-6,2436.96
10,6.1-8,2511.96
10,8.1-10,2591.52
10,10.1-12,2677.08
11,0-2,2297.16
11,2.1-4,2365.56
11,4.1-6,2436.96
11,6.1-8,2511.96
11,8.1-10,2591.52
11,10.1-12,2677.08
12,0-2,2297.16
12,2.1-4,2365.56
12,4.1-6,2436.96
12,6.1-8,2511.96
12,8.1-10,2591.52
12,10.1-12,2677.08
13,0-2,2721.6
13,2.1-4,2784.96
13,4.1-6,2848.32
13,6.1-8,2911.84
13,8.1-10,2975.2
13,10.1-12,3038.56
14,0-2,2721.6
14,2.1-4,2784.96
14,4.1-6,2848.32
14,6.1-8,2911.84
14,8.1-10,2975.2
14,10.1-12,3038.56
15,0-2,2721.6
15,2.1-4,2784.96
15,4.1-6,2848.32
15,6.1-8,2911.84
15,8.1-10,2975.2
15,10.1-12,3038.56
16,0-2,2721.6
16,2.1-4,2784.96
16,4.1-6,2848.32
16,6.1-8,2911.84
16,8.1-10,2975.2
16,10.1-12,3038.56
17,0-2,2833.6
17,2.1-4,2912.8
17,4.1-6,2992
17,6.1-8,3071.2
17,8.1-10,3150.4
17,10.1-12,3229.8
18,0-2,2833.6
18,2.1-4,2912.8
18,4.1-6,2992
18,6.1-8,3071.2
18,8.1-10,3150.4
18,10.1-12,3229.8
19,0-2,2833.6
19,2.1-4,2912.8
19,4.1-6,2992
19,6.1-8,3071.2
19,8.1-10,3150.4
19,10.1-12,3229.8
20,0-2,2833.6
20,2.1-4,2912.8
20,4.1-6,2992
20,6.1-8,3071.2
20,8.1-10,3150.4
20,10.1-12,3229.8
21,0-2,3123.84
21,2.1-4,3218.88
21,4.1-6,3314.16
21,6.1-8,3409.2
21,8.1-10,3504.48
21,10.1-12,3599.52
22,0-2,3123.84
22,2.1-4,3218.88
22,4.1-6,3314.16
22,6.1-8,3409.2
22,8.1-10,3504.48
22,10.1-12,3599.52
23,0-2,3123.84
23,2.1-4,3218.88
23,4.1-6,3314.16
23,6.1-8,3409.2
23,8.1-10,3504.48
